price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,parkingSpace,priceByArea,floor,hasLift
1140000,flat,sale,128.0,3.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6927148,-4.4390056,good,False,,8906.0,6,1.0
880000,chalet,sale,295.0,5.0,2.0,Málaga,Centro,Gibralfaro,36.7242168,-4.4069744,renew,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2983.0,,
825000,flat,sale,124.0,2.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7209656,-4.409758,good,False,,6653.0,9,1.0
390000,flat,sale,155.0,3.0,2.0,Málaga,Cruz de Humilladero,Carranque - Haza Cuevas,36.7163467,-4.439789,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2516.0,5,1.0
999000,flat,sale,105.0,3.0,1.0,Málaga,Centro,Centro Histórico,36.7211486,-4.4188127999999995,good,False,,9514.0,3,1.0
2500000,chalet,sale,510.0,5.0,4.0,Málaga,Este,Cerrado de Calderón - Hacienda Paredes,36.7274769,-4.3867176,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4902.0,,
220000,flat,sale,48.0,1.0,1.0,Málaga,Centro,Perchel norte,36.7177848,-4.4313833,good,False,,4583.0,bj,1.0
2100000,chalet,sale,422.0,5.0,4.0,Málaga,Este,Cerrado de Calderón - Hacienda Paredes,36.7296572,-4.3850529,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4976.0,,
589000,penthouse,sale,131.0,3.0,2.0,Málaga,Centro,La Victoria,36.7286086,-4.4146778,good,False,,4496.0,2,0.0
695000,flat,sale,180.0,5.0,2.0,Málaga,Centro,Gibralfaro,36.7273111,-4.4125385,good,False,,3861.0,7,1.0
830000,chalet,sale,310.0,4.0,2.0,Málaga,Centro,Olletas - Sierra Blanquilla,36.741856,-4.4117787,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2677.0,,
215000,flat,sale,62.0,2.0,1.0,Málaga,Bailén - Miraflores,Suárez,36.7280091,-4.4410106,good,False,,3468.0,1,1.0
1700000,flat,sale,279.0,5.0,4.0,Málaga,Este,Malagueta - Monte Sancha,36.7192493,-4.4078989,renew,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6093.0,10,1.0
670000,flat,sale,84.0,1.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6872198,-4.4457152,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7976.0,7,1.0
312000,flat,sale,88.0,3.0,2.0,Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad,36.7247278,-4.4341112,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3545.0,2,1.0
1700000,chalet,sale,440.0,5.0,4.0,Málaga,Este,Cerrado de Calderón - Hacienda Paredes,36.7259785,-4.3827008,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3864.0,,
1150000,flat,sale,195.0,4.0,2.0,Málaga,Este,Pedregalejo - Morlaco,36.7235312,-4.3810976,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5897.0,1,1.0
1320000,chalet,sale,350.0,6.0,4.0,Málaga,Este,El Palo,36.7274842,-4.351947,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3771.0,,
615000,flat,sale,89.0,2.0,2.0,Málaga,Este,Limonar,36.7302888,-4.400661,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6910.0,1,1.0
3300000,flat,sale,259.0,4.0,4.0,Málaga,Carretera de Cádiz,Pacífico,36.6853928,-4.4480689,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",12741.0,18,1.0
550000,flat,sale,147.0,3.0,2.0,Málaga,Centro,Perchel norte,36.7184898,-4.4341705,renew,False,,3741.0,7,1.0
369000,flat,sale,117.0,3.0,1.0,Málaga,Centro,La Goleta - San Felipe Neri,36.7266174,-4.4229146,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3154.0,4,1.0
159000,flat,sale,48.0,2.0,1.0,Málaga,Cruz de Humilladero,Carranque - Haza Cuevas,36.7159726,-4.4453412,good,False,,3313.0,1,0.0
345000,flat,sale,84.0,2.0,1.0,Málaga,Centro,Centro Histórico,36.7229139,-4.4201835,good,False,,4107.0,bj,0.0
890000,chalet,sale,361.0,7.0,2.0,Málaga,Este,El Candado,36.7193509,-4.3466905,renew,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2465.0,,
1550000,flat,sale,176.0,2.0,2.0,Málaga,Carretera de Cádiz,Pacífico,36.6851392,-4.4462154,newdevelopment,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",8807.0,5,1.0
3950000,flat,sale,445.0,4.0,5.0,Málaga,Carretera de Cádiz,Pacífico,36.6851392,-4.4462154,,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",8876.0,17,1.0
629000,flat,sale,147.0,4.0,2.0,Málaga,Centro,Perchel sur - El Bulto,36.7153694,-4.4271629,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4279.0,2,1.0
1049000,chalet,sale,300.0,4.0,4.0,Málaga,Este,Pedregalejo - Morlaco,36.720841,-4.3686826,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3497.0,,
330000,chalet,sale,156.0,3.0,1.0,Málaga,Martiricos - La Roca,Martiricos - La Roca,36.7298561,-4.4359127,good,False,,2115.0,,
480000,flat,sale,115.0,4.0,2.0,Málaga,Centro,Perchel norte,36.7179557,-4.4283594,good,False,,4174.0,4,1.0
886000,chalet,sale,461.0,5.0,3.0,Málaga,Churriana,Guadalmar,36.6657624,-4.4610986,renew,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1922.0,,
129950,studio,sale,37.0,0.0,1.0,Málaga,Bailén - Miraflores,Los Castillejos - La Trinidad,36.7253737,-4.4331624,good,False,,3512.0,bj,0.0
429950,flat,sale,108.0,3.0,2.0,Málaga,Puerto de la Torre,Puertosol - Santa Isabel,36.739261,-4.4931136,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3981.0,2,1.0
800000,flat,sale,269.0,5.0,3.0,Málaga,Este,Limonar,36.7216594,-4.3914349,renew,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2974.0,1,1.0
289000,flat,sale,90.0,2.0,2.0,Málaga,Centro,El Molinillo - Capuchinos,36.7319633,-4.4237267,good,False,,3211.0,1,1.0
204000,flat,sale,49.0,2.0,1.0,Málaga,Bailén - Miraflores,Suárez,36.7264301,-4.4418522,good,False,,4163.0,5,1.0
180000,flat,sale,83.0,3.0,1.0,Málaga,Centro,Conde de Ureña,36.7299537,-4.4110862,good,False,,2169.0,4,0.0
466000,flat,sale,61.0,1.0,1.0,Málaga,Carretera de Cádiz,Pacífico,36.681168,-4.4505815,newdevelopment,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7639.0,bj,1.0
214600,duplex,sale,68.0,2.0,2.0,Málaga,Centro,La Trinidad,36.7230571,-4.4306824,good,False,,3156.0,1,1.0
2236000,flat,sale,316.0,4.0,4.0,Málaga,Carretera de Cádiz,Pacífico,36.6849443,-4.4465818,,True,,7076.0,16,1.0
2405000,flat,sale,325.0,4.0,4.0,Málaga,Carretera de Cádiz,Pacífico,36.6849443,-4.4465818,newdevelopment,True,,7400.0,17,1.0
