price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
1000,1,1,67.0,3.0,1.0,0,0,26,36.7191941,-4.3558151,0,0,15.0,1.0,1.0,0,0
1350,1,1,75.0,1.0,1.0,0,2,4,36.7225608,-4.4252241,0,0,18.0,1.0,1.0,0,0
900,1,1,48.0,2.0,1.0,0,2,30,36.7270429,-4.4232348,0,0,19.0,2.0,1.0,0,0
1080,1,1,77.0,3.0,1.0,0,1,47,36.7025375,-4.4501958,0,0,14.0,2.0,1.0,0,0
1550,1,1,70.0,1.0,1.0,0,2,4,36.7218784,-4.4204301,0,0,22.0,2.0,1.0,0,0
1020,1,1,60.0,3.0,1.0,0,9,36,36.7472941,-4.4233602,0,0,17.0,2.0,0.0,0,0
990,1,1,70.0,3.0,1.0,0,7,41,36.730869,-4.442925,0,0,14.0,1.0,0.0,0,0
1050,1,1,60.0,2.0,1.0,0,2,2,36.7285618,-4.411207,0,0,18.0,1.0,0.0,0,0
1200,1,1,38.0,1.0,1.0,0,2,23,36.7252371,-4.4125872,0,0,32.0,4.0,1.0,0,0
1900,1,1,65.0,2.0,2.0,0,5,11,36.732021,-4.427974,0,0,29.0,25.0,1.0,1,1
1900,1,1,52.0,1.0,1.0,0,5,11,36.7301979,-4.4269682,0,0,37.0,28.0,1.0,1,1
3900,1,1,101.0,2.0,2.0,0,0,9,36.736603,-4.4033497,0,0,39.0,1.0,1.0,1,1
1900,1,1,66.0,2.0,2.0,0,5,11,36.7308009,-4.4280885,0,0,29.0,26.0,1.0,1,0
1000,1,1,70.0,2.0,1.0,0,2,4,36.7222039,-4.4205477,0,0,14.0,3.0,1.0,0,0
4300,2,1,310.0,4.0,2.0,0,0,9,36.7237161,-4.3936849,0,0,14.0,5.0,1.0,1,1
1245,1,1,78.0,2.0,1.0,0,2,4,36.7188418,-4.4207793,0,0,16.0,3.0,1.0,1,0
1650,1,1,61.0,1.0,1.0,0,5,11,36.7301913,-4.4257183,0,0,27.0,22.0,1.0,1,1
1850,1,1,57.0,1.0,1.0,0,5,11,36.7311928,-4.4267533,0,0,32.0,27.0,1.0,1,1
1450,1,1,82.0,2.0,2.0,0,1,19,36.6952355,-4.4402069,0,0,18.0,4.0,1.0,1,1
2500,1,1,148.0,4.0,3.0,0,0,3,36.7214556,-4.3986924,0,0,17.0,1.0,1.0,1,1
1500,1,1,122.0,2.0,2.0,0,2,43,36.7287434,-4.4218377,0,0,12.0,4.0,1.0,1,0
1500,1,1,100.0,2.0,1.0,0,1,38,36.6857982,-4.448557,0,0,15.0,1.0,1.0,1,1
1400,1,1,84.0,2.0,1.0,0,2,14,36.7133071,-4.4246296,0,0,17.0,3.0,1.0,1,0
2400,1,1,150.0,3.0,2.0,0,5,11,36.7290412,-4.4278551,0,0,16.0,11.0,1.0,1,1
2000,1,1,90.0,3.0,2.0,0,0,13,36.7227722,-4.3790039,0,0,22.0,1.0,1.0,1,1
1050,1,1,75.0,2.0,1.0,0,2,30,36.7308731,-4.4223871,0,0,14.0,2.0,0.0,0,0
1200,2,1,70.0,1.0,1.0,0,3,45,36.7244266,-4.4527416,0,0,17.0,4.0,1.0,1,1
1300,1,1,95.0,3.0,1.0,0,2,30,36.7321292,-4.4231349,0,0,14.0,3.0,1.0,0,0
1650,1,1,90.0,2.0,1.0,0,2,4,36.719915,-4.424003,0,0,18.0,2.0,0.0,0,0
1900,1,1,80.0,2.0,2.0,0,5,11,36.7298124,-4.4261488,0,0,24.0,27.0,1.0,1,1
1200,1,1,60.0,3.0,1.0,0,2,30,36.7292357,-4.4249965,0,0,20.0,2.0,0.0,0,0
1000,1,1,70.0,2.0,1.0,0,0,26,36.7160595,-4.3476946,0,0,14.0,0.0,0.0,0,0
2400,1,1,110.0,3.0,2.0,0,1,34,36.6982036,-4.4512115,0,0,22.0,10.0,1.0,1,1
1400,4,1,47.0,1.0,1.0,0,7,25,36.7220991,-4.4331337,0,0,30.0,3.0,0.0,1,1
1400,1,1,82.0,2.0,1.0,0,2,4,36.7178196,-4.425557,0,0,17.0,3.0,1.0,1,0
1400,1,1,127.0,3.0,2.0,0,2,32,36.7275938,-4.4295206,0,0,11.0,1.0,1.0,0,0
1500,1,1,130.0,3.0,2.0,0,2,12,36.7284198,-4.4128555,0,0,12.0,1.0,0.0,0,0
1450,1,1,132.0,3.0,2.0,0,6,44,36.7180908,-4.4603369,0,0,11.0,5.0,1.0,1,1
1650,1,1,116.0,3.0,2.0,0,6,15,36.7243081,-4.4767722,0,0,14.0,2.0,1.0,1,1
1300,2,1,102.0,2.0,1.0,0,6,15,36.720475,-4.4715006,0,0,13.0,4.0,1.0,1,1
2000,2,1,120.0,3.0,2.0,0,4,55,36.729257,-4.4615814,0,0,17.0,7.0,1.0,1,1
1300,1,1,66.0,2.0,1.0,0,2,4,36.7218469,-4.4193986,0,0,20.0,1.0,1.0,0,0
1400,1,1,95.0,3.0,1.0,0,1,40,36.6992783,-4.4456439,0,0,15.0,4.0,1.0,1,1
2500,1,1,190.0,4.0,2.0,0,0,21,36.7410941,-4.3781873,0,0,13.0,0.0,1.0,1,1
4150,1,1,250.0,6.0,3.0,0,2,4,36.7201187,-4.4224976,0,0,17.0,2.0,1.0,0,0
1600,1,1,90.0,3.0,2.0,0,2,8,36.7094015,-4.4321654,0,0,18.0,5.0,1.0,1,1
1400,1,1,135.0,3.0,2.0,0,0,39,36.726187,-4.3625252,0,0,10.0,1.0,1.0,0,0
1000,1,1,45.0,1.0,1.0,0,1,38,36.6904231,-4.4578908,0,0,22.0,4.0,1.0,1,1
1199,1,1,50.0,1.0,1.0,0,2,17,36.7247238,-4.4175698,0,0,24.0,1.0,1.0,0,0
800,3,1,37.0,0.0,1.0,0,2,4,36.7237763,-4.4203591,0,0,22.0,2.0,1.0,0,0
1100,1,1,47.0,1.0,1.0,0,2,4,36.7218387,-4.4195348,0,0,23.0,0.0,1.0,0,0
1950,1,1,115.0,3.0,2.0,0,2,14,36.7155511,-4.4223478,0,0,17.0,6.0,1.0,0,0
2000,1,1,70.0,1.0,1.0,0,2,14,36.7165867,-4.4251091,0,0,29.0,5.0,1.0,0,0
2500,1,1,180.0,4.0,2.0,0,0,3,36.7183684,-4.4102842,0,0,14.0,8.0,1.0,1,1
1700,2,1,100.0,3.0,2.0,0,1,54,36.6829436,-4.4520878,0,0,17.0,7.0,1.0,1,1
1295,1,1,54.0,1.0,1.0,0,2,4,36.7211842,-4.4199466,0,0,24.0,5.0,1.0,0,0
1050,1,1,33.0,1.0,1.0,0,2,30,36.7286233,-4.4227205,0,0,32.0,1.0,0.0,0,0
1500,1,1,95.0,2.0,2.0,0,2,14,36.7158225,-4.4261815,0,0,16.0,2.0,1.0,0,0
1100,1,1,30.0,1.0,1.0,0,2,4,36.7201782,-4.42491,0,0,37.0,4.0,1.0,0,0
1100,1,1,95.0,2.0,1.0,0,3,56,36.7196139,-4.4573908,0,0,12.0,5.0,1.0,1,1
