price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,detailedType,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
388000,flat,sale,76.0,2.0,2.0,Málaga,Centro,Perchel norte,36.7183751,-4.4323906,good,False,5105.0,flat,9.0,1,False,False
783000,flat,sale,150.0,3.0,2.0,Marbella,Nueva Andalucía,Nueva Andalucía,36.496697,-4.9664992,newdevelopment,True,5220.0,flat,1.0,1,True,True
885000,flat,sale,151.0,2.0,2.0,Marbella,Nueva Andalucía,Nueva Andalucía,36.496697,-4.9664992,newdevelopment,True,5861.0,flat,1.0,1,True,True
1241100,flat,sale,231.0,4.0,5.0,Marbella,Nueva Andalucía,Nueva Andalucía,36.496697,-4.9664992,newdevelopment,True,5373.0,flat,0.0,1,True,True
220000,flat,sale,75.0,2.0,1.0,Nerja,Almijara,Almijara,36.7609458,-3.8720208,good,False,2933.0,flat,1.0,0,True,True
405000,chalet,sale,151.0,4.0,2.0,Fuengirola,Torreblanca,Torreblanca,36.5745937,-4.6135845,good,False,2682.0,independantHouse,0.0,0,True,True
160000,flat,sale,84.0,2.0,1.0,Ronda,Casco Histórico,Casco Histórico,36.7427543,-5.1636249,good,False,1905.0,flat,1.0,0,False,False
680000,chalet,sale,404.0,6.0,3.0,Alhaurín de la Torre,El Romeral-Peñón de Zapata,Lagar de las Pitas,36.6799857,-4.5631456,good,False,1683.0,independantHouse,0.0,0,True,True
398000,chalet,sale,171.0,4.0,4.0,Mijas,Hipódromo-Cerrado del Águila,Hipódromo-Cerrado del Águila,36.5191666,-4.6524542,good,False,2327.0,terracedHouse,0.0,0,True,True
310000,flat,sale,121.0,3.0,2.0,Benalmádena,Arroyo de la Miel,Arroyo de la Miel,36.6034205,-4.5325121,good,False,2562.0,flat,1.0,0,True,True
350000,duplex,sale,133.0,3.0,2.0,Rincón de la Victoria,Playa del Rincón,Playa del Rincón,36.7160888,-4.2912598,good,False,2632.0,duplex,2.0,0,False,False
324000,flat,sale,105.0,2.0,1.0,Marbella,Nueva Andalucía,Puerto Banús,36.4923752,-4.9516096,good,False,3086.0,flat,0.0,0,True,True
340000,chalet,sale,180.0,2.0,3.0,Mijas,Hipódromo-Cerrado del Águila,Hipódromo-Cerrado del Águila,36.5184925,-4.6484763,good,False,1889.0,terracedHouse,0.0,0,True,True
2128650,chalet,sale,441.0,5.0,5.0,Marbella,Nueva Andalucía,Los Naranjos,36.5199757,-4.9704854,good,False,4827.0,independantHouse,0.0,0,True,True
410000,flat,sale,147.0,3.0,2.0,Rincón de la Victoria,Añoreta baja,Pueblo Lago Sector C,36.715372,-4.2480907,good,False,2789.0,flat,0.0,0,False,False
1092500,flat,sale,445.0,3.0,3.0,Marbella,Rio Real-Los Monteros,Rio Real,36.5087536,-4.8476633,good,False,2455.0,flat,0.0,0,True,True
425000,flat,sale,122.0,3.0,2.0,Fuengirola,Centro Ciudad,Centro Ciudad,36.5406746,-4.6250728,renew,False,3484.0,flat,5.0,0,False,False
238000,flat,sale,67.0,2.0,2.0,Mijas,Riviera del Sol,Riviera del Sol,36.5072274,-4.715567,good,False,3552.0,flat,1.0,0,True,True
990000,chalet,sale,442.0,5.0,0.0,Marbella,Elviria-Cabopino,Marbesa,36.4904666,-4.7564529,renew,False,2240.0,independantHouse,0.0,0,True,True
433000,flat,sale,137.0,3.0,2.0,Estepona,Selwo,La Concha-Resina Golf,36.4695182,-5.0732859,newdevelopment,True,3161.0,flat,0.0,1,False,False
409000,flat,sale,103.0,2.0,2.0,Estepona,Selwo,La Concha-Resina Golf,36.4695182,-5.0732859,newdevelopment,True,3971.0,flat,0.0,1,True,True
439000,flat,sale,109.0,2.0,2.0,Estepona,Selwo,La Concha-Resina Golf,36.4695182,-5.0732859,newdevelopment,True,4028.0,flat,2.0,1,False,False
