propertyCode,price,priceInfo,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace
106993835,649000,€,flat,sale,177.0,4.0,3.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7196987,-4.4083659,renew,False,3667.0,2,1.0,False
106994027,659000,€,flat,sale,177.0,4.0,3.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7196987,-4.4083659,renew,False,3723.0,2,1.0,False
107885007,295000,€,flat,sale,66.0,3.0,1.0,Málaga,Málaga,Centro,es,Cristo de la Epidemia,36.7287765,-4.416325,good,False,4470.0,2,1.0,False
107965498,254000,€,flat,sale,80.0,3.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,La Luz,36.6950348,-4.453209,good,False,3175.0,4,1.0,False
103130920,298000,€,flat,sale,91.0,4.0,2.0,Málaga,Málaga,Centro,es,La Trinidad,36.7231678,-4.4278515,good,False,3275.0,4,1.0,False
107444944,1745000,€,chalet,sale,612.0,8.0,5.0,Málaga,Málaga,Este,es,El Palo,36.7273684,-4.3530876,good,False,2851.0,0,0.0,True
107863063,735000,€,flat,sale,114.0,2.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.681168,-4.4505815,newdevelopment,True,6447.0,bj,1.0,True
107887762,725000,€,flat,sale,127.0,3.0,3.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6816188,-4.4477968,newdevelopment,True,5709.0,3,1.0,True
107564605,345000,€,flat,sale,96.0,3.0,2.0,Málaga,Málaga,Centro,es,La Trinidad,36.7284065,-4.4298531,good,False,3594.0,9,1.0,False
107798297,550000,€,flat,sale,100.0,3.0,2.0,Málaga,Málaga,Centro,es,Ensanche Centro - Soho,36.7156338,-4.4226543,good,False,5500.0,1,1.0,False
107811439,299000,€,flat,sale,91.0,3.0,1.0,Málaga,Málaga,Centro,es,Cristo de la Epidemia,36.7290998,-4.4153362,good,False,3286.0,4,1.0,False
107469847,389000,€,flat,sale,84.0,2.0,2.0,Málaga,Málaga,Centro,es,Perchel sur - El Bulto,36.7110328,-4.4309435,good,False,4631.0,2,1.0,False
106935720,323000,€,flat,sale,111.0,2.0,2.0,Málaga,Málaga,Centro,es,El Molinillo - Capuchinos,36.729194,-4.4201779,good,False,2910.0,3,1.0,False
