propertyCode,price,priceInfo,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace
108007880,1300,€/mes,flat,rent,90.0,3.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Los Castillejos - La Trinidad,36.725129,-4.4320148,good,False,14.0,bj,1.0,False
108066435,1495,€/mes,flat,rent,80.0,2.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7201925,-4.4203932,good,False,19.0,4,1.0,True
107933974,4200,€/mes,flat,rent,122.0,2.0,3.0,Málaga,Málaga,Centro,es,La Merced,36.7240308,-4.4194447,good,False,34.0,2,0.0,False
95593853,730,€/mes,studio,rent,30.0,0.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.724973,-4.4190644,good,False,24.0,1,1.0,False
100439526,1140,€/mes,flat,rent,70.0,2.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7216796,-4.4178808,good,False,16.0,2,1.0,False
107777031,2000,€/mes,duplex,rent,101.0,3.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7213334,-4.4204466,good,False,20.0,2,0.0,False
107970229,1500,€/mes,chalet,rent,75.0,3.0,1.0,Málaga,Málaga,Centro,es,El Molinillo - Capuchinos,36.7310814,-4.4238087,good,False,20.0,0,0.0,False
91436502,3000,€/mes,flat,rent,80.0,2.0,2.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7202956,-4.4087852,good,False,38.0,4,1.0,False
107312576,2490,€/mes,flat,rent,115.0,3.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.723305,-4.4230274,good,False,22.0,3,1.0,False
104806824,7500,€/mes,flat,rent,309.0,4.0,3.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6854173,-4.4463003,good,False,24.0,10,1.0,True
106967807,1299,€/mes,flat,rent,40.0,1.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Huelin,36.7079489,-4.4308591,good,False,32.0,bj,0.0,False
107812385,2000,€/mes,flat,rent,52.0,1.0,1.0,Málaga,Málaga,Teatinos,es,El Consul - El Romeral,36.721968,-4.4713876,good,False,38.0,bj,0.0,False
107905748,3000,€/mes,flat,rent,140.0,3.0,2.0,Málaga,Málaga,Centro,es,Ensanche Centro - Soho,36.7137203,-4.4245995,good,False,21.0,1,1.0,False
107996871,1150,€/mes,flat,rent,90.0,3.0,1.0,Málaga,Málaga,Centro,es,Cristo de la Epidemia,36.7300623,-4.4148926,good,False,13.0,3,1.0,False
108053309,1350,€/mes,studio,rent,35.0,0.0,1.0,Málaga,Málaga,Centro,es,La Merced,36.7247732,-4.4206555,good,False,39.0,2,0.0,False
92171805,1300,€/mes,flat,rent,75.0,2.0,1.0,Málaga,Málaga,Centro,es,El Molinillo - Capuchinos,36.7297158,-4.4205252,good,False,17.0,4,0.0,False
106678430,1200,€/mes,flat,rent,58.0,1.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Girón - Las Delicias - Pacífico,36.6982802,-4.4467691,good,False,21.0,2,1.0,False
107901463,2700,€/mes,flat,rent,125.0,3.0,2.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7222638,-4.4187359,good,False,22.0,1,0.0,False
