latitude,longitude,district,district,neighborhood,neighborhood
36.7244378,-4.4017057,Este,CENTRO,Limonar,MONTE SANCHA                  
36.7047936,-4.4400262,Carretera de Cádiz,CARRETERA DE CADIZ,Huelin,LA PRINCESA                   
36.7294989,-4.4493492,Bailén - Miraflores,BAILEN-MIRAFLORES,San Alberto - La Alcubilla - Florisol,TEJAR DE SALYT                
36.731472,-4.4506116,Bailén - Miraflores,BAILEN-MIRAFLORES,San Alberto - La Alcubilla - Florisol,SAN ALBERTO                   
36.7193644,-4.4259831,Centro,CENTRO,Centro Histórico,PERCHEL NORTE                 
36.7186415,-4.4114562,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.6927148,-4.4390056,Carretera de Cádiz,,Pacífico,
36.7242168,-4.4069744,Centro,CENTRO,Gibralfaro,MONTE DE GIBRALFARO           
36.7209656,-4.409758,Este,CENTRO,Malagueta - Monte Sancha,CAMPOS ELISEOS                
36.7163467,-4.439789,Cruz de Humilladero,CRUZ DE HUMILLADERO,Carranque - Haza Cuevas,POL ALAMEDA                   
36.7211486,-4.4188128,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7274769,-4.3867176,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,HACIENDA CLAVERO              
36.7177848,-4.4313833,Centro,CRUZ DE HUMILLADERO,Perchel norte,POL ALAMEDA                   
36.7296572,-4.3850529,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,CERRADO DE CALDERON           
36.7286086,-4.4146778,Centro,CENTRO,La Victoria,CRISTO DE LA EPIDEMIA         
36.7273111,-4.4125385,Centro,CENTRO,Gibralfaro,CONDE DE UREÑA                
36.741856,-4.4117787,Centro,ESTE,Olletas - Sierra Blanquilla,CAMINO DEL COLMENAR           
36.7280091,-4.4410106,Bailén - Miraflores,BAILEN-MIRAFLORES,Suárez,SUAREZ                        
36.7192493,-4.4078989,Este,CENTRO,Malagueta - Monte Sancha,LA MALAGUETA                  
36.6872198,-4.4457152,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,POL COM PACIFICO
36.7247278,-4.4341112,Bailén - Miraflores,BAILEN-MIRAFLORES,Los Castillejos - La Trinidad,LA TRINIDAD                   
36.7259785,-4.3827008,Este,ESTE,Cerrado de Calderón - Hacienda Paredes,CERRADO DE CALDERON           
36.7235312,-4.3810976,Este,ESTE,Pedregalejo - Morlaco,LA VIÑA                       
36.7274842,-4.351947,Este,ESTE,El Palo,MIRAFLORES DEL PALO           
36.7302888,-4.400661,Este,ESTE,Limonar,EL MAYORAZGO
36.6853928,-4.4480689,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,TORRE DEL RIO                 
36.7184898,-4.4341705,Centro,CRUZ DE HUMILLADERO,Perchel norte,POL ALAMEDA                   
36.7266174,-4.4229146,Centro,CENTRO,La Goleta - San Felipe Neri,SAN FELIPE NERI               
36.7159726,-4.4453412,Cruz de Humilladero,CRUZ DE HUMILLADERO,Carranque - Haza Cuevas,CARRANQUE                     
36.7229139,-4.4201835,Centro,CENTRO,Centro Histórico,CENTRO HISTORICO              
36.7193509,-4.3466905,Este,ESTE,El Candado,EL CANDADO                    
36.6851392,-4.4462154,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,TORRE DEL RIO                 
36.6851392,-4.4462154,Carretera de Cádiz,CARRETERA DE CADIZ,Pacífico,TORRE DEL RIO                 
36.7153694,-4.4271629,Centro,CENTRO,Perchel sur - El Bulto,PERCHEL SUR                   
36.720841,-4.3686826,Este,ESTE,Pedregalejo - Morlaco,LAS ACACIAS                   
36.7298561,-4.4359127,Martiricos - La Roca,BAILEN-MIRAFLORES,Martiricos - La Roca,VICTORIA EUGENIA              
36.7179557,-4.4283594,Centro,CENTRO,Perchel norte,PERCHEL NORTE                 
